mfcc,zcr,srf,flux,chroma,class
"[-5.5977789e+02  4.9330109e+01  5.9378487e-03  1.2543461e+01
  9.2932177e+00 -4.8291674e+00 -7.9153285e+00  4.3498883e-01
 -9.5872116e+00 -5.1263909e+00 -3.1654730e+00 -8.3039036e+00
 -4.5874715e+00  2.9067619e+00 -1.9848630e+00 -3.5445037e-01
  2.7349287e-01 -4.4095907e+00 -4.0148692e+00  2.7538066e+00
 -4.2949467e+00 -3.4051590e+00 -7.8296900e+00  2.9384777e-01
 -4.1532130e+00 -2.8500621e+00 -5.0434189e+00 -2.4570045e+00
  2.6698568e-01 -2.3286800e+00 -1.1128119e+00  1.1790587e+00
 -2.5412951e+00 -1.3151114e-02  1.1815648e+00  4.1380482e+00
  3.5583444e+00  9.1127932e-01  4.8225293e-01  1.6200026e+00]",0.8112506405021721,0.8067951790369583,-1.4407644689729728,"[0.36421013 0.39557412 0.45604828 0.4967793  0.44128066 0.46207482
 0.51221246 0.565444   0.48133388 0.40057507 0.41963115 0.35604528]",fear
"[-6.0396808e+02  4.0327892e+01 -1.7770470e+01  4.8910599e+00
 -7.0611501e+00 -6.6191692e+00 -3.3937283e+00 -7.9255204e+00
 -5.9847031e+00 -4.9160891e+00 -6.8119974e+00 -3.1876767e+00
 -5.3296032e+00  4.7403437e-01 -2.4867063e+00 -6.0697037e-01
 -2.2369995e+00 -1.1924465e+00 -2.5890646e+00  9.7046089e-01
  1.8305221e-01 -1.1700637e+00 -2.3240497e+00 -2.8686955e+00
 -1.6440164e+00  5.0651973e-01  2.6568439e+00  2.8420339e+00
  2.3110476e+00  2.2334282e+00  1.2648866e+00  2.8840508e+00
  1.1487924e+00  2.0897167e+00  1.2736869e+00  2.0732245e+00
 -6.7228478e-01  4.2688677e-01  8.3718830e-01  3.1737103e+00]",1.8663901135198349,0.5228828220070961,-1.4611286081842314,"[0.5411856  0.43589088 0.3862246  0.37698594 0.3982563  0.47096142
 0.43429884 0.41765374 0.44798145 0.434812   0.48497018 0.5530763 ]",surprise
"[-5.6508588e+02  5.5999123e+01 -3.0258760e-01  1.1004166e+01
  1.2391296e+01  1.7195464e+00  1.8693466e+00  5.6958711e-01
 -2.2209713e+00  3.1080413e+00  5.3960538e-01  2.9278605e+00
  1.8822515e+00  4.8674899e-01  3.6801310e+00  2.1580403e+00
  1.4598730e+00  2.4836792e-03  1.8070679e+00  3.3146338e+00
 -1.5857575e+00  2.7162857e+00 -3.6158562e-01  1.4270275e+00
  2.7858478e-01  1.3488963e+00 -5.9601474e-01  2.1522267e+00
 -5.3895712e-01  1.7946746e+00  1.1282361e+00  1.9079168e+00
  7.0758086e-01  1.5853034e-01  2.3707695e-01  2.2394617e+00
  1.0203228e+00  8.0809772e-01 -6.3363574e-02  5.5855989e-01]",-0.39198556682796176,-0.019493043541793043,-1.7427688075620344,"[0.6354994  0.68250227 0.6341205  0.5724035  0.54399437 0.5322445
 0.50266486 0.5561169  0.6218737  0.6491341  0.5783399  0.5639164 ]",sad
"[-6.60558533e+02  4.66985703e+01 -4.46243095e+00  4.13687181e+00
 -4.05132866e+00 -1.03209743e+01  1.96485841e+00 -1.79734364e+01
 -1.00557995e+01 -9.00268459e+00 -8.22498226e+00 -6.04784441e+00
 -7.08141565e+00 -4.02633667e+00 -3.25394654e+00 -4.45344639e+00
 -7.06369400e+00 -1.40660489e+00 -1.45396686e+00 -1.82955790e+00
 -4.27864361e+00 -5.19622707e+00 -3.03512287e+00 -2.05986619e+00
 -2.98457766e+00  6.18737936e-01  2.68214893e+00  5.05464172e+00
  4.04881144e+00  5.67487812e+00  6.04334295e-01  3.53646970e+00
  1.57791764e-01  3.93495750e+00  3.17578340e+00  4.37822485e+00
  1.27996707e+00  1.16660702e+00 -3.32257271e-01 -3.15606706e-02]",1.5652930052026652,1.427065293909053,-0.9318963299203261,"[0.54687005 0.52049744 0.4555241  0.4385664  0.38294446 0.417204
 0.48300415 0.5722246  0.5485153  0.5531143  0.6251063  0.6129825 ]",surprise
"[-5.3001367e+02  3.9484547e+01 -1.7308504e+01  2.9783738e+00
 -4.3088098e+00 -1.1859342e+01 -9.3044748e+00 -1.4269716e+01
 -4.4896455e+00 -5.8259153e-01 -6.6974006e+00 -3.3029895e+00
 -1.0506748e+01 -2.7029917e+00 -2.4206479e+00 -2.1310322e+00
  2.0594114e-01  1.4363086e+00  7.2391164e-01  2.0693007e+00
  3.3857081e+00  4.0855031e+00  8.3147520e-01  3.8258224e+00
 -9.9163152e-02  4.7157292e+00  3.8842964e+00  6.7261395e+00
  7.4915166e+00  1.0487635e+01  5.3655224e+00  5.4171643e+00
  2.2240927e+00  4.8339458e+00  2.7750983e+00  3.6393161e+00
  1.6341947e+00  1.7594227e-01 -1.2541280e+00  2.1028295e+00]",0.8031254090107033,1.313677067839883,-1.0999123024579984,"[0.472784   0.3947575  0.40183377 0.4076041  0.3886919  0.4375408
 0.40622646 0.4278384  0.48814675 0.5784664  0.60464907 0.51507777]",surprise
"[-392.4747      43.73491      2.9037032   31.41163      6.324222
   -2.0578952   -2.2655847  -17.531439     2.4433355    3.6501625
  -15.666956    11.728404    -4.0737796    5.7127976    4.5077844
   -6.3112583    4.0089984   -0.8655268  -11.021315     2.3567553
   -4.6425157   -4.1336527   -5.706245    -0.8683934   -6.5924234
   -0.7574534   -3.1080945   -0.9803205   -6.813537    -4.545479
   -7.859038     8.968586    11.120187    27.228458    28.385958
   24.463232    14.055006     1.5584232   -4.527456     0.6187646]",-0.04330293078613463,0.41908752189053405,0.2664734586381137,"[0.25166202 0.32886842 0.4737879  0.24869213 0.166614   0.2186078
 0.4596153  0.71255815 0.44320756 0.23111361 0.17859732 0.21066067]",neutral
"[-5.2577307e+02  5.9919762e+01 -1.0032407e+01  1.3193439e+01
  2.3252273e+00 -3.6522689e+00 -1.1944931e+01 -1.5479843e+01
 -7.1778893e+00 -6.7068930e+00 -6.7427316e+00 -3.7050788e+00
 -1.4483483e+00 -5.2566118e+00 -8.0547295e+00  3.3607203e-01
 -2.7997751e+00 -1.5423311e+00 -3.3802683e+00 -1.8706805e+00
 -3.1280901e+00 -1.9151753e+00 -4.7245522e+00 -3.9198825e+00
 -4.5379071e+00 -2.6669748e+00 -3.9002209e+00 -3.4216997e-01
 -1.9525826e+00 -1.7639412e+00 -1.8291540e+00 -2.7849228e+00
 -4.2491908e+00 -2.4610674e+00 -2.1653652e+00 -2.2726603e+00
 -2.6026120e+00 -4.3065605e+00 -5.0780516e+00 -1.1443083e+00]",0.34602250766222153,0.8470675015046472,-0.41836809263700325,"[0.5000713  0.45018187 0.40570444 0.4114356  0.47425303 0.444158
 0.41403913 0.41383377 0.46668848 0.51309997 0.53723663 0.5718281 ]",angry
"[-4.2750055e+02  8.4227753e+01  1.7428419e+01 -8.1343098e+00
 -1.2650599e+00 -3.6662421e+00 -5.7603812e+00  3.4401660e+00
 -1.6778559e+01  1.7207376e+00 -9.9769392e+00 -4.3823509e+00
 -1.9034773e+00  2.7807729e+00 -3.6443915e+00  5.2801757e+00
 -2.5127397e+00  9.4901638e+00  3.6211801e+00 -2.2333438e+00
 -6.5196000e-02  3.4320643e+00 -2.5919418e+00  3.4189732e+00
 -1.9383243e+00  4.7254624e+00 -2.0657885e+00  6.5586782e+00
 -3.2253935e+00  5.1994400e+00  9.5786655e-01  2.1946604e+00
  1.3952004e+00  1.4101316e+00  2.3078682e+00  5.0102954e+00
  5.7281785e+00  1.0914364e+01  1.0070686e+01  1.0628888e+01]",-0.8461591311169216,-1.2401246292782329,0.2910104884513827,"[0.26552868 0.35158443 0.35428342 0.3904519  0.41732156 0.4696856
 0.47148278 0.3733569  0.34805933 0.37614655 0.3192267  0.25186035]",surprise
"[-7.0879987e+02  4.8700954e+01  1.1222209e+00  2.5110792e-02
 -7.6219716e+00 -7.2248383e+00 -1.2110167e+01 -8.4031954e+00
 -1.2154092e+01 -7.8486791e+00 -6.2581158e+00 -3.7247789e+00
 -8.0504894e+00 -4.1720037e+00 -3.0296049e+00 -7.2763147e+00
 -4.0043378e+00 -3.3509367e+00 -4.6968832e+00 -5.1141958e+00
 -2.8753088e+00 -2.6605182e+00 -3.8926251e+00  8.0619372e-02
 -2.6222141e-02  1.1387726e+00  1.4377031e+00  4.9362135e+00
  2.1599643e+00  3.4355526e+00  2.2819257e+00  6.2858648e+00
  6.5994229e+00  8.4329348e+00  5.3763046e+00  3.5715826e+00
 -4.7077522e-01 -6.8526870e-01 -1.4559069e+00  1.1717994e+00]",1.65511861839658,0.800785501974087,-1.3378824580530662,"[0.4287035  0.38265747 0.36117032 0.37982887 0.34263155 0.33493346
 0.41165787 0.50865906 0.58630526 0.53895634 0.43987644 0.46397084]",neutral
"[-6.1744299e+02  5.8951939e+01 -2.9919174e+00  9.0292244e+00
  2.2322023e+00 -1.0378318e+01 -3.9435248e+00 -3.6417720e+00
 -6.4725595e+00 -4.5489445e+00 -1.0918697e+00 -3.4018912e+00
 -1.9715312e+00 -3.3518475e-02 -3.2106745e+00  1.2233474e+00
 -4.2460055e+00 -1.9734312e+00 -4.7297943e-01 -1.9714561e+00
 -3.2735150e+00 -3.1910044e-01 -3.7833662e+00  3.6831075e-01
 -5.8546484e-01  2.2584114e+00 -1.1261377e+00  2.3894825e+00
  2.7015901e-01  3.8359318e+00  1.8208498e+00  2.8883755e+00
  4.8936740e-01  2.9601548e+00  8.7930310e-01  2.2887232e+00
 -2.5674814e-01  1.7331238e+00  9.0966827e-01  4.8316956e+00]",0.47853688903279895,1.1455985707348617,-1.1024457821270601,"[0.5423585  0.5389047  0.5585534  0.6186819  0.64531916 0.6076164
 0.49058747 0.4884551  0.5377154  0.58367497 0.6017663  0.5683943 ]",surprise
"[-4.09105682e+02  5.44032707e+01  1.20246136e+00 -1.02613678e+01
  1.05217731e+00 -1.14435661e+00 -1.50157022e+01 -2.13138968e-01
 -1.31250601e+01  4.69884253e+00 -1.62323952e+01 -6.44911194e+00
 -6.11503267e+00  1.97632527e+00 -3.32639575e+00  2.09685028e-01
 -2.66551280e+00  2.83977175e+00  4.20473635e-01 -3.80492544e+00
  8.31373596e+00  2.06654778e+01  2.06055813e+01  3.05381927e+01
  2.03636265e+01  1.25544949e+01 -9.72381353e-01  4.17571926e+00
 -1.95537472e+00  6.28829050e+00 -1.64767087e+00  1.10325694e-01
 -3.55974293e+00 -3.78327346e+00 -4.76925150e-02  3.25083113e+00
 -3.57088804e+00 -2.17200112e+00 -4.21414137e+00  1.30726731e+00]",-0.9544801625065649,-0.7531659760795375,0.6933323023664212,"[0.22755224 0.33634278 0.533478   0.56800044 0.3571198  0.24978614
 0.228742   0.20584074 0.24201082 0.3181342  0.28975132 0.28636014]",fear
"[-428.2358      26.617027     7.8496103   -0.9978719    1.2667738
    9.048516    -8.610458    -9.577816    -9.3360615   -0.5594943
  -12.924606    -4.833438    -5.2271414    5.281295     0.6304636
   -2.1663332   -1.7029091    4.627765    -1.7665755    2.3970525
    5.880052    13.648661    14.880207    27.374794    19.88335
   13.837706     5.572443     7.0876317   -2.311244     6.159526
    1.5034373    3.124786    -1.1497742   -1.9591811   -1.1506869
    2.1883805   -4.391469     4.029457    -4.2677383   -1.3821907]",-0.11166502827187298,0.4594612599556575,0.4140836941202088,"[0.36024162 0.5215648  0.6076167  0.48624942 0.23768197 0.20800698
 0.16210024 0.18231584 0.27474526 0.29938343 0.25795797 0.24090785]",fear
"[-4.2224783e+02  5.5793415e+01  6.7528758e+00  1.8532232e+01
  7.6973500e+00 -1.9156013e+00 -3.5532572e+00 -9.7083387e+00
 -2.3993747e+00  8.0911837e+00 -7.7593102e+00  9.7743177e+00
 -3.7980345e-01  5.8412499e+00  2.8334949e+00 -4.1524954e+00
  6.2782544e-01  1.5345486e+00 -1.1481677e+01  2.3863392e+00
 -3.3707864e+00 -4.7882519e+00 -5.5248885e+00 -2.0060053e+00
 -4.0002789e+00 -2.6833792e+00 -3.5322275e+00  1.9617349e-01
 -3.7438259e+00  1.3938873e-01 -8.5185080e+00 -4.4534922e+00
 -2.6945374e+00  7.0180678e+00  1.5617665e+01  2.6618288e+01
  2.7003424e+01  2.1574736e+01  7.6110053e+00 -5.5749875e-01]",0.19431043723041963,0.2813707899494761,-0.05881598560026534,"[0.23267819 0.37345243 0.6158019  0.30382058 0.2058117  0.18942106
 0.45018446 0.68271136 0.36493683 0.1917159  0.19286418 0.20721261]",neutral
"[-6.0644696e+02  7.1487305e+01 -7.5763950e+00  1.5287769e+01
  1.5322896e+01  3.2739598e-01 -6.6384959e-01 -1.1354185e+00
 -2.8339190e+00 -6.2119043e-01  1.3632964e+00  2.3740537e+00
 -1.4707059e-01  9.7572166e-01  1.0909985e+00 -6.7915320e-01
  3.0713346e-02 -1.8993566e+00  1.6532843e+00 -1.8234160e+00
 -2.2244389e+00 -9.4514412e-01 -2.6717198e+00  6.5918183e-01
 -3.6788890e+00  1.3132954e+00 -1.9935652e+00  1.4939151e+00
 -1.3959831e+00  2.9671218e+00  1.7180057e+00  2.8176799e+00
  1.3704778e+00  1.1291890e+00 -3.5070434e-01  2.0023825e+00
  2.8184521e-01  2.4383147e-01 -1.4450842e-02 -8.0322444e-01]",0.01155272956502476,0.21332667277571113,-1.50898835265675,"[0.49663687 0.504018   0.4710831  0.51032174 0.4737766  0.4046006
 0.3998813  0.4601465  0.58673906 0.6723514  0.57016486 0.4753031 ]",happy
"[-3.9025061e+02  5.3526512e+01 -1.8986751e+00  2.8933298e+01
 -4.0774899e+00 -1.0880423e+01 -1.3930775e+01 -1.0125542e+01
 -8.9953289e+00 -4.3427334e+00 -9.9262619e+00  5.5269957e+00
 -1.0342362e+01  1.6078036e+00 -2.6722473e-01 -4.7696605e+00
  5.1252231e-02 -2.2922409e+00 -4.1508670e+00  3.1422219e+00
 -2.7345018e+00  4.2074651e-01 -1.5424567e+00  4.0659824e-01
 -4.1905141e+00  2.8950968e-01 -2.8224175e+00  2.0173032e+00
  2.1395231e-02  2.5586159e+00  3.1294197e-01  4.5151362e+00
  1.5751234e+00  1.6877575e+00  3.9256620e+00  4.5041904e+00
  5.2184806e+00  4.5396361e+00  4.0743828e+00  4.7435780e+00]",0.02527226835534695,0.4878668980069637,0.8871793965591168,"[0.3292132  0.3492333  0.35339028 0.30209345 0.3437817  0.36221465
 0.37567812 0.3323801  0.32488084 0.36390027 0.3288269  0.32437843]",disgust
"[-3.6295312e+02  4.3440159e+01 -1.7335957e+01 -1.7063618e+01
 -5.0204176e-01  5.4516592e+00 -2.6717909e+01 -8.7789450e+00
 -2.0460354e+01 -7.9019064e-01 -9.8955116e+00  4.6847501e+00
 -3.5817106e+00  7.1996903e+00 -2.7680502e+00  1.9297899e+00
 -1.2223735e+00 -4.7938638e+00 -9.4273558e+00 -1.3586496e+01
 -4.2240629e+00  1.3426634e+01  8.8055916e+00  2.9628572e+01
  3.6384750e+01  2.6674442e+01  1.0745513e+01  4.5827527e+00
 -1.0685594e+01  9.6764517e+00  9.0191040e+00  7.4756017e+00
 -1.8425730e-01 -5.7973733e+00 -1.4759123e+00  8.5920992e+00
  3.3711083e+00 -2.8233254e+00 -7.8676758e+00  3.7482420e-01]",-0.527646906661254,-0.6636354318232893,0.9742231707130016,"[0.16532789 0.38942182 0.6079295  0.23554593 0.25633836 0.3334438
 0.16048096 0.11479719 0.14815843 0.20160769 0.18851107 0.1902874 ]",angry
"[-6.1825580e+02  6.6798111e+01 -8.5673714e-01  1.4971654e+01
  1.2648223e+01 -3.8625691e+00  3.3471115e+00 -1.3077507e+00
 -2.4034884e+00  1.1099712e+00 -1.2804575e+00  2.6254100e-01
 -6.3093334e-01 -9.3045419e-01  5.8635020e-01  7.7513337e-01
  6.3002124e-02 -2.1507096e+00  9.7572011e-01  9.5642203e-01
 -2.7910998e+00  8.6337829e-01 -9.7924060e-01  2.0472968e+00
 -5.2916044e-01  4.1034002e+00  5.3649640e-01  4.7288198e+00
  7.6448572e-01  2.2711267e+00  1.0744957e+00  9.0199631e-01
  1.4172389e-01  5.8265901e-01 -6.0341746e-01  1.0298313e+00
 -2.9016244e-01  7.1395153e-01 -1.2440684e+00 -1.4252474e+00]",0.313927228547558,0.5569616828959821,-1.2148839005706205,"[0.59612024 0.5393713  0.4629262  0.39874348 0.40926284 0.41156775
 0.44401813 0.4665364  0.46664786 0.5237159  0.5615537  0.57680464]",sad
"[-4.42496277e+02  7.23400421e+01  9.72518349e+00  2.42807140e+01
 -3.83487344e+00  2.96748114e+00 -4.50338316e+00 -1.74091778e+01
 -6.11784875e-01  3.58811188e+00 -5.33329582e+00  2.83640766e+00
 -5.68610287e+00  7.71945524e+00 -5.41770363e+00 -1.60644221e+00
  1.78363490e+00 -5.54633617e+00 -6.16109514e+00 -2.40365550e-01
 -3.01137948e+00 -1.93305063e+00 -8.96861553e+00  2.01020718e+00
 -5.36194229e+00 -1.45099413e+00 -1.46219373e+00  4.94353384e-01
 -3.22551346e+00 -7.95644939e-01 -7.78508139e+00  2.65557265e+00
  1.39818251e+00  1.05445986e+01  1.54706640e+01  2.09386845e+01
  1.67473755e+01  1.10279045e+01  3.18196654e+00  2.10264111e+00]",-0.5017135233498805,-0.21254148346606197,0.4592845955572254,"[0.21967119 0.2883145  0.46028045 0.28418675 0.21497492 0.26931092
 0.5117125  0.75106204 0.41144636 0.22699374 0.23298313 0.22355987]",neutral
